codigo,concello_carpeta,estado,subcarpetas,pdfs,archivos_total,accion,ruta
15001,15001_Abegondo,CON_DOCUMENTACION,1,155,157,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15001_Abegondo
15002,15002_Ames,CON_DOCUMENTACION,3,215,217,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15002_Ames
15003,15003_Aranga,CON_DOCUMENTACION,3,67,69,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15003_Aranga
15004,15004_Ares,CON_DOCUMENTACION,8,135,137,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15004_Ares
15005,15005_Arteixo,CON_DOCUMENTACION,10,153,155,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15005_Arteixo
15006,15006_Arzúa,CON_DOCUMENTACION,3,259,261,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15006_Arzúa
15007,15007_Baña_ A,CON_DOCUMENTACION,3,77,79,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15007_Baña_ A
15008,15008_Bergondo,CON_DOCUMENTACION,9,65,67,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15008_Bergondo
15009,15009_Betanzos,CON_DOCUMENTACION,7,25,27,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15009_Betanzos
15010,15010_Boimorto,CON_DOCUMENTACION,1,51,53,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15010_Boimorto
15011,15011_Boiro,CON_DOCUMENTACION,4,73,75,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15011_Boiro
